"Node ID","Degree","Betweenness Centrality","Eigenvector Centrality","Clustering Coefficient"
"Richardson, Dorothy M.","28","0.0009 (59)","0.0681 (47)","0.5635 (279)"
"Wyatt, Edith","13","0.0009 (60)","0.0409 (91)","0.4872 (295)"
"Teasdale, Sara","8","0.0009 (61)","0.0314 (132)","0.7500 (223)"
"Waley, Arthur","13","0.0010 (57)","0.0434 (83)","0.5641 (277)"
"Picabia, Francis","11","0.0011 (53)","0.0211 (182)","0.5636 (278)"
"Dell, Floyd","13","0.0011 (54)","0.0410 (90)","0.7051 (234)"
"Colum, Padraic","24","0.0011 (55)","0.0589 (59)","0.4348 (304)"
"Barnes, Djuna","29","0.0011 (56)","0.0695 (43)","0.5567 (281)"
"Hueffer, Ford Maddox","21","0.0012 (51)","0.0686 (46)","0.6238 (257)"
"Stevens, Wallace","24","0.0012 (52)","0.0735 (38)","0.5254 (287)"
"Yeats, William Butler","22","0.0013 (49)","0.0648 (51)","0.5411 (285)"
"H. D.","27","0.0013 (50)","0.0988 (29)","0.6980 (237)"
"Seiffert, Marjorie Allen","26","0.0014 (45)","0.0820 (35)","0.5046 (292)"
"Powys, John Cowper","17","0.0014 (46)","0.0533 (67)","0.6471 (254)"
"Michelson, Max","26","0.0014 (47)","0.0708 (39)","0.4431 (302)"
"Andelson, Pearl","20","0.0014 (48)","0.0244 (165)","0.2632 (322)"
"Lindsay, Nicholas Vachel","16","0.0015 (42)","0.0523 (69)","0.7583 (221)"
"Strobel, Marion","25","0.0015 (43)","0.0375 (101)","0.2933 (320)"
"Schuchert, Herman","41","0.0015 (44)","0.1050 (25)","0.4768 (296)"
"Symons, Arthur","19","0.0016 (41)","0.0650 (50)","0.6199 (258)"
"Crane, Hart","14","0.0019 (40)","0.0292 (140)","0.4725 (299)"
"Scott, Evelyn","20","0.0021 (39)","0.0657 (49)","0.6632 (252)"
"Kreymborg, Alfred","27","0.0022 (37)","0.0659 (48)","0.3732 (308)"
"K.","48","0.0022 (38)","0.1191 (20)","0.4229 (305)"
"Hoyt, Helen","33","0.0025 (35)","0.1036 (26)","0.5455 (284)"
"von Freytag-Loringhoven, Elsa (Baroness)","28","0.0025 (36)","0.0618 (57)","0.4947 (293)"
"Dawson, Mitchell","36","0.0026 (33)","0.1036 (27)","0.5143 (290)"
"Flint, F. S.","29","0.0026 (34)","0.0946 (32)","0.5985 (269)"
"Crawford, Nelson Antrim","28","0.0031 (32)","0.0529 (68)","0.2963 (319)"
"Nietzsche, Friedrich","48","0.0033 (29)","0.1218 (18)","0.4362 (303)"
"Frank, Florence Kiper","32","0.0033 (30)","0.0981 (31)","0.5645 (276)"
"Turbyfill, Mark","32","0.0033 (31)","0.0981 (30)","0.5222 (288)"
"Soule, George","55","0.0040 (28)","0.1174 (22)","0.3522 (309)"
"Sandburg, Carl","47","0.0048 (26)","0.1169 (23)","0.3312 (315)"
"Kaun, Alexander S.","54","0.0048 (27)","0.1257 (15)","0.3424 (313)"
"Kandinsky, Wassily","3","0.0051 (25)","0.0097 (292)","0.3333 (314)"
"Szukalski, Stanislaw","13","0.0052 (24)","0.0399 (97)","0.7179 (233)"
"H. H.","14","0.0053 (23)","0.0365 (106)","0.4945 (294)"
"Gilmore, Louis","32","0.0059 (22)","0.0778 (37)","0.4738 (297)"
"Masters, Edgar Lee","36","0.0061 (21)","0.0914 (33)","0.3476 (311)"
"Foster, George Burman","56","0.0063 (20)","0.1253 (16)","0.3519 (310)"
"Rodker, John","45","0.0081 (19)","0.1010 (28)","0.3758 (307)"
"Saphier, William","50","0.0100 (18)","0.1384 (13)","0.4106 (306)"
"Fletcher, John Gould","67","0.0119 (17)","0.1479 (10)","0.2501 (324)"
"Hecht, Ben","59","0.0122 (16)","0.1430 (11)","0.3250 (316)"
"Bynner, Witter","50","0.0139 (15)","0.1289 (14)","0.3437 (312)"
"Joyce, James","57","0.0146 (14)","0.1208 (19)","0.3070 (318)"
"Williams, William Carlos","55","0.0166 (13)","0.1136 (24)","0.2909 (321)"
"Carnevali, Emanuel","64","0.0228 (12)","0.1183 (21)","0.2173 (326)"
"Ficke, Arthur Davison","61","0.0233 (11)","0.1402 (12)","0.3208 (317)"
"Anderson, Sherwood","83","0.0280 (10)","0.1857 (6)","0.2586 (323)"
"Bodenheim, Maxwell","85","0.0284 (9)","0.1828 (9)","0.2319 (325)"
"Aldington, Richard","94","0.0368 (8)","0.1909 (5)","0.2022 (327)"
"Lowell, Amy","101","0.0460 (7)","0.1928 (4)","0.1794 (328)"
"Tietjens, Eunice","106","0.0506 (6)","0.1855 (7)","0.1580 (330)"
"jh","78","0.0550 (5)","0.1245 (17)","0.1745 (329)"
"Henderson, Alice C.","139","0.0884 (4)","0.1851 (8)","0.0851 (333)"
"Pound, Ezra","146","0.1141 (3)","0.2027 (3)","0.0927 (332)"
"Anderson, Margaret C.","141","0.1216 (2)","0.2341 (1)","0.1307 (331)"
"Monroe, Harriet","256","0.4787 (1)","0.2246 (2)","0.0323 (334)"
